candidate_id,stem,seed,source_row_index,neoplastic_centroid_count,inflammatory_centroid_count,candidate_order,seed_index,config_id,green_sd,controlnet_strength,denoising_steps,spatial_score
candidate_0443,TCGA-A2-A0D4_x55296_y33792_TR,2134508988,576,6,22,4,4,cfg00_g0_c2_s30,0.0,2.0,30,0.7209302325581395
candidate_0444,TCGA-BH-A18K_x74752_y19456_TL,797836729,578,2,9,3,3,cfg00_g0_c2_s30,0.0,2.0,30,0.8611111111111112
candidate_0445,TCGA-D8-A1J8_x26624_y20480_BR,1751793406,579,10,67,0,0,cfg00_g0_c2_s30,0.0,2.0,30,0.7868852459016393
candidate_0446,TCGA-AN-A0AJ_x148480_y39936_TR,1391745608,580,11,11,3,3,cfg00_g0_c2_s30,0.0,2.0,30,0.8108108108108109
candidate_0447,TCGA-E2-A15O_x75776_y36864_BR,1659701964,581,89,1,1,1,cfg00_g0_c2_s30,0.0,2.0,30,0.9428571428571428
candidate_0448,TCGA-A8-A099_x13312_y16384_BR,1606779965,582,53,1,10,2,cfg01_gm1_c2_s30,-1.0,2.0,30,0.8285714285714286
candidate_0449,TCGA-EW-A1PD_x54272_y37888_TR,1320457795,583,9,1,7,7,cfg00_g0_c2_s30,0.0,2.0,30,0.75
candidate_0450,TCGA-A2-A0D0_x71680_y30720_TL,1440900624,584,11,73,7,7,cfg00_g0_c2_s30,0.0,2.0,30,0.8396946564885496
candidate_0451,TCGA-C8-A278_x27648_y11264_TL,1723836488,585,52,20,12,4,cfg01_gm1_c2_s30,-1.0,2.0,30,0.7319587628865979
candidate_0452,TCGA-A2-A0D0_x84992_y54272_TR,1075800574,588,60,23,2,2,cfg00_g0_c2_s30,0.0,2.0,30,0.7636363636363637
candidate_0453,TCGA-A7-A3RF_x57344_y13312_TL,1979376091,589,111,2,2,2,cfg00_g0_c2_s30,0.0,2.0,30,0.9495798319327732
candidate_0454,TCGA-E2-A15A_x24576_y50176_BL,738864709,592,13,3,4,4,cfg00_g0_c2_s30,0.0,2.0,30,0.775
candidate_0455,TCGA-AN-A0XT_x36864_y9216_TL,1332746336,593,3,18,0,0,cfg00_g0_c2_s30,0.0,2.0,30,0.7945205479452054
candidate_0456,TCGA-A2-A1FX_x58368_y23552_TL,1830800733,594,29,21,2,2,cfg00_g0_c2_s30,0.0,2.0,30,0.7530864197530864
candidate_0457,TCGA-BH-A0HQ_x36864_y54272_TL,142928515,597,27,4,4,4,cfg00_g0_c2_s30,0.0,2.0,30,0.8301886792452831
candidate_0458,TCGA-AO-A1KR_x16384_y22528_TR,257180487,598,162,10,3,3,cfg00_g0_c2_s30,0.0,2.0,30,0.8695652173913043
candidate_0459,TCGA-E2-A14V_x60416_y56320_TL,1997737155,599,41,3,3,3,cfg00_g0_c2_s30,0.0,2.0,30,0.7454545454545455
candidate_0460,TCGA-BH-A0HP_x43008_y72704_TR,1009739960,600,2,4,0,0,cfg00_g0_c2_s30,0.0,2.0,30,0.7162162162162162
candidate_0461,TCGA-C8-A137_x24576_y53248_BL,1114061053,602,30,30,5,5,cfg00_g0_c2_s30,0.0,2.0,30,0.7386363636363636
candidate_0462,TCGA-AR-A2LM_x41984_y17408_TR,1072314091,605,56,2,7,7,cfg00_g0_c2_s30,0.0,2.0,30,0.8382352941176471
candidate_0463,TCGA-A2-A04X_x65536_y63488_BL,472963646,608,104,11,7,7,cfg00_g0_c2_s30,0.0,2.0,30,0.9741379310344828
candidate_0464,TCGA-EW-A3U0_x118784_y28672_BR,1145964016,609,13,14,3,3,cfg00_g0_c2_s30,0.0,2.0,30,0.8222222222222222
candidate_0465,TCGA-A2-A1G1_x33792_y33792_TL,1772351097,610,3,25,6,6,cfg00_g0_c2_s30,0.0,2.0,30,0.8021978021978022
candidate_0466,TCGA-AR-A0U0_x23552_y24576_BR,1781245138,612,70,19,2,2,cfg00_g0_c2_s30,0.0,2.0,30,0.803921568627451
candidate_0467,TCGA-A7-A0CD_x73728_y16384_BL,2120793212,613,59,19,6,6,cfg00_g0_c2_s30,0.0,2.0,30,0.8977272727272727
candidate_0468,TCGA-AR-A254_x19456_y23552_BR,625629832,616,51,1,7,7,cfg00_g0_c2_s30,0.0,2.0,30,0.8783783783783784
